latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
16.845,100.937,315.4,1,1,2015-04-02, 0355,T,64,5.0       ,302.5,7
16.844,100.946,316.1,1,1,2015-04-02, 0355,T,65,5.0       ,302.3,7.4
17.251,97.861,332.7,1.3,1.1,2015-04-02, 0355,T,85,5.0       ,305.2,34.9
16.712,101.091,323.5,1,1,2015-04-02, 0355,T,74,5.0       ,306.3,11.1
16.711,101.1,319.5,1,1,2015-04-02, 0355,T,65,5.0       ,304.5,6.7
16.801,100.417,326.5,1,1,2015-04-02, 0355,T,80,5.0       ,310.9,11.9
16.657,101.028,318.1,1,1,2015-04-02, 0355,T,49,5.0       ,304.4,7.9
16.499,100.85,310.4,1,1,2015-04-02, 0355,T,37,5.0       ,300.1,5.6
16.886,97.922,333.4,1.3,1.1,2015-04-02, 0355,T,85,5.0       ,305.1,35.1
16.885,97.934,328.2,1.3,1.1,2015-04-02, 0355,T,81,5.0       ,305.1,22.7
16.953,97.326,331.7,1.4,1.2,2015-04-02, 0355,T,76,5.0       ,303.1,32.4
16.942,97.324,328.2,1.4,1.2,2015-04-02, 0355,T,53,5.0       ,304.8,21.2
16.731,98.94,317.8,1.1,1.1,2015-04-02, 0355,T,68,5.0       ,290.1,16.9
16.729,98.951,311.8,1.1,1.1,2015-04-02, 0355,T,30,5.0       ,289.6,9.2
16.52,100.258,331.6,1,1,2015-04-02, 0355,T,77,5.0       ,313.8,16.4
16.362,101.21,326.4,1,1,2015-04-02, 0355,T,70,5.0       ,309.5,8.6
16.461,100.02,330.3,1,1,2015-04-02, 0355,T,83,5.0       ,312.3,13.2
16.302,100.616,330.6,1,1,2015-04-02, 0355,T,58,5.0       ,310.7,10.1
16.448,99.198,320.6,1.1,1,2015-04-02, 0355,T,73,5.0       ,301.5,14.4
16.111,100.727,334.1,1,1,2015-04-02, 0355,T,86,5.0       ,310.3,16.1
16.175,100.22,327.3,1,1,2015-04-02, 0355,T,80,5.0       ,310.2,9.9
16.124,100.577,333.4,1,1,2015-04-02, 0355,T,85,5.0       ,312.7,13.5
16.024,100.821,327.8,1,1,2015-04-02, 0355,T,81,5.0       ,309.4,9.9
15.836,101.833,337.6,1,1,2015-04-02, 0355,T,88,5.0       ,307.8,25.1
15.835,101.842,325.4,1,1,2015-04-02, 0355,T,72,5.0       ,306,6.4
15.908,101.294,327.4,1,1,2015-04-02, 0355,T,80,5.0       ,308.5,8.3
15.907,101.303,329.9,1,1,2015-04-02, 0355,T,83,5.0       ,308.4,11.6
15.982,100.409,350.4,1,1,2015-04-02, 0355,T,95,5.0       ,315.1,50.7
15.944,100.613,334.1,1,1,2015-04-02, 0355,T,86,5.0       ,312.5,12.7
15.704,101.552,326.1,1,1,2015-04-02, 0355,T,79,5.0       ,307.3,11
15.114,100.045,318.7,1,1,2015-04-02, 0355,T,69,5.0       ,305.2,7.5
15.04,99.719,334.6,1,1,2015-04-02, 0355,T,86,5.0       ,315,14.3
15.039,99.729,341.5,1,1,2015-04-02, 0355,T,91,5.0       ,315.2,27.1
14.702,101.095,321.1,1,1,2015-04-02, 0355,T,66,5.0       ,304.2,12.1
14.87,99.371,328.1,1.1,1,2015-04-02, 0355,T,73,5.0       ,313.1,11.4
14.868,99.38,331.3,1.1,1,2015-04-02, 0355,T,84,5.0       ,311.6,16.1
14.404,100.369,330.1,1,1,2015-04-02, 0355,T,83,5.0       ,306.9,17.9
14.402,100.378,324.5,1,1,2015-04-02, 0355,T,65,5.0       ,307.4,10.7
14.413,100.182,319.9,1,1,2015-04-02, 0355,T,71,5.0       ,304.7,8.1
14.391,100.329,323.9,1,1,2015-04-02, 0355,T,45,5.0       ,305.6,7.9
14.372,100.329,325.3,1,1,2015-04-02, 0355,T,62,5.0       ,305.9,11.4
14.353,100.336,348.8,1,1,2015-04-02, 0355,T,95,5.0       ,305.6,51.5
14.352,100.345,322.8,1,1,2015-04-02, 0355,T,14,5.0       ,304.9,7.2
14.385,99.991,325.8,1,1,2015-04-02, 0355,T,59,5.0       ,310.7,10
14.288,100.533,324.9,1,1,2015-04-02, 0355,T,78,5.0       ,305.6,12.2
14.212,100.105,319.8,1,1,2015-04-02, 0355,T,72,5.0       ,305.7,7.7
14.189,100.073,321,1,1,2015-04-02, 0355,T,73,5.0       ,305.8,7.6
14.146,100.051,321.5,1,1,2015-04-02, 0355,T,64,5.0       ,305.7,9.5
14.116,100.065,331.3,1,1,2015-04-02, 0355,T,84,5.0       ,309.5,22.8
14.115,100.075,323.3,1,1,2015-04-02, 0355,T,72,5.0       ,306.9,10.7
14.091,100.241,320,1,1,2015-04-02, 0355,T,72,5.0       ,304.1,9.6
13.771,100.788,323.4,1,1,2015-04-02, 0355,T,49,5.0       ,303.3,10.9
13.651,100.664,321.9,1,1,2015-04-02, 0355,T,72,5.0       ,299.8,9.3
13.748,99.618,335.4,1,1,2015-04-02, 0355,T,86,5.0       ,309.9,21.4
13.717,99.192,323,1.1,1,2015-04-02, 0355,T,33,5.0       ,306.7,13.3
13.681,98.323,325.2,1.1,1.1,2015-04-02, 0355,T,37,5.0       ,308.8,15.4
13.144,101.397,320.7,1,1,2015-04-02, 0355,T,50,5.0       ,302.8,10
13.179,101.044,322.9,1,1,2015-04-02, 0355,T,65,5.0       ,303.3,11.9
13.123,100.991,326.2,1,1,2015-04-02, 0355,T,57,5.0       ,303.6,10.6
12.966,101.114,322.9,1,1,2015-04-02, 0355,T,18,5.0       ,299.8,15
12.546,98.882,323.2,1.1,1,2015-04-02, 0355,T,76,5.0       ,303.7,19.1
12.281,99.763,330.4,1,1,2015-04-02, 0355,T,74,5.0       ,306.7,19
11.971,99.297,317.4,1,1,2015-04-02, 0355,T,44,5.0       ,302.1,8.8
11.836,99.464,324.3,1,1,2015-04-02, 0355,T,65,5.0       ,307.9,18.8
11.833,99.482,324.8,1,1,2015-04-02, 0355,T,76,5.0       ,305,19.1
11.856,99.202,324.4,1,1,2015-04-02, 0355,T,77,5.0       ,307,14
11.85,99.239,319.1,1,1,2015-04-02, 0355,T,57,5.0       ,299.9,9.6
11.778,99.165,322.4,1,1,2015-04-02, 0355,T,74,5.0       ,303.2,11.8
10.989,98.765,316.5,1,1,2015-04-02, 0355,T,65,5.0       ,297.6,8.8
8.513,99.94,313.1,1,1,2015-04-02, 0355,T,57,5.0       ,283.9,9.1
7.988,100.063,342.2,1,1,2015-04-02, 0355,T,91,5.0       ,299.7,45
7.986,100.072,340.1,1,1,2015-04-02, 0355,T,90,5.0       ,299.2,41.6
6.75,100.506,318.5,1.1,1,2015-04-02, 0355,T,61,5.0       ,300,10.7
6.633,100.425,320.8,1.1,1,2015-04-02, 0355,T,65,5.0       ,305.4,11.3
27.261,100.822,330.4,1.2,1.1,2015-04-02, 0350,T,75,5.0       ,301,34
