DOWNLOADABLE,ON_DEMAND,Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir Off Nadir,Full or Partial Scene,Data Category,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Browse Exists,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Entity ID,Display ID,Ordering ID
1,N,LC80080462014209LGN00,8,46,8,46,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/28/14,2014:209:15:08:01.5448101,2014:209:15:08:33.5451333,9,2.9,65.94588419,88.50324936,4.565,5.704,Yes,"20¡13'46.52""N","70¡57'13.32""W","21¡16'38.42""N","71¡38'50.68""W","20¡54'33.48""N","69¡51'28.66""W","19¡10'15.13""N","70¡16'18.88""W","19¡32'26.41""N","72¡02'28.21""W",20.22959,-70.9537,21.27734,-71.64741,20.9093,-69.85796,19.17087,-70.27191,19.54067,-72.04117,LC80080462014209LGN00,LC80080462014209LGN00,LC80080462014209LGN00
1,N,LC80080472014209LGN00,8,47,8,47,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/28/14,2014:209:15:08:25.5450525,2014:209:15:08:57.5453757,9,1.9,65.64785456,85.26470672,4.679,5.932,Yes,"18¡47'14.39""N","71¡17'12.26""W","19¡50'05.64""N","71¡58'28.56""W","19¡28'05.81""N","70¡12'06.41""W","17¡43'44.69""N","70¡36'35.68""W","18¡05'51.40""N","72¡21'51.19""W",18.78733,-71.28674,19.8349,-71.9746,19.46828,-70.20178,17.72908,-70.60991,18.09761,-72.36422,LC80080472014209LGN00,LC80080472014209LGN00,LC80080472014209LGN00
1,N,LC80080452014209LGN00,8,45,8,45,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/28/14,2014:209:15:07:37.5445737,2014:209:15:08:09.5448909,9,9.52,66.16424084,91.82051469,4.435,6.751,Yes,"21¡40'17.62""N","70¡36'58.57""W","22¡43'10.31""N","71¡18'58.54""W","22¡20'59.86""N","69¡30'31.90""W","20¡36'44.35""N","69¡55'44.98""W","20¡59'00.60""N","71¡42'52.56""W",21.67156,-70.61627,22.71953,-71.31626,22.34996,-69.50886,20.61232,-69.92916,20.9835,-71.7146,LC80080452014209LGN00,LC80080452014209LGN00,LC80080452014209LGN00
1,N,LC80080482014209LGN00,8,48,8,48,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/28/14,2014:209:15:08:49.5452949,2014:209:15:09:21.5456121,9,7.27,65.27297671,82.12168108,4.73,6.523,Yes,"17¡20'39.59""N","71¡36'57.24""W","18¡23'30.19""N","72¡17'53.09""W","18¡01'35.36""N","70¡32'27.92""W","16¡17'11.47""N","70¡56'38.00""W","16¡39'13.64""N","72¡41'02.40""W",17.34433,-71.6159,18.39172,-72.29808,18.02649,-70.54109,16.28652,-70.94389,16.65379,-72.684,LC80080482014209LGN00,LC80080482014209LGN00,LC80080482014209LGN00
1,N,LC80100442014207LGN00,10,44,10,44,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/26/14,2014:207:15:19:33.5517333,2014:207:15:20:05.5520505,9,5.65,66.40087274,94.09021793,5.532,5.611,Yes,"23¡06'45.14""N","73¡21'36.61""W","24¡09'38.70""N","74¡04'01.16""W","23¡47'22.02""N","72¡14'24.29""W","22¡03'09.94""N","72¡40'02.24""W","22¡25'31.76""N","74¡28'13.48""W",23.11254,-73.36017,24.16075,-74.06699,23.78945,-72.24008,22.05276,-72.66729,22.42549,-74.47041,LC80100442014207LGN00,LC80100442014207LGN00,LC80100442014207LGN00
1,N,LC80100452014207LGN00,10,45,10,45,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/26/14,2014:207:15:19:57.5519757,2014:207:15:20:29.5522929,9,15.94,66.23654989,90.70972009,5.624,5.277,Yes,"21¡40'18.12""N","73¡42'08.21""W","22¡43'10.81""N","74¡24'08.39""W","22¡21'00.18""N","72¡35'41.21""W","20¡36'44.82""N","73¡00'54.43""W","20¡59'01.28""N","74¡48'02.56""W",21.6717,-73.70228,22.71967,-74.40233,22.35005,-72.59478,20.61245,-73.01512,20.98369,-74.80071,LC80100452014207LGN00,LC80100452014207LGN00,LC80100452014207LGN00
1,N,LC80100472014207LGN00,10,47,10,47,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/26/14,2014:207:15:20:45.5524545,2014:207:15:21:17.5527717,9,4.01,65.66490449,84.16350608,4.398,5.326,Yes,"18¡47'14.14""N","74¡22'22.37""W","19¡50'05.42""N","75¡03'38.88""W","19¡28'05.34""N","73¡17'16.08""W","17¡43'44.33""N","73¡41'45.35""W","18¡05'51.25""N","75¡27'01.51""W",18.78726,-74.37288,19.83484,-75.0608,19.46815,-73.2878,17.72898,-73.69593,18.09757,-75.45042,LC80100472014207LGN00,LC80100472014207LGN00,LC80100472014207LGN00
1,N,LC80100482014207LGN00,10,48,10,48,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/26/14,2014:207:15:21:09.5526909,2014:207:15:21:41.5530141,9,3.2,65.26339464,81.0366519,4.34,6.196,Yes,"17¡20'40.13""N","74¡42'07.09""W","18¡23'30.91""N","75¡23'04.52""W","18¡01'35.33""N","73¡37'35.94""W","16¡17'11.90""N","74¡01'46.16""W","16¡39'14.87""N","75¡46'13.98""W",17.34448,-74.70197,18.39192,-75.38459,18.02648,-73.62665,16.28664,-74.02949,16.65413,-75.77055,LC80100482014207LGN00,LC80100482014207LGN00,LC80100482014207LGN00
1,N,LC80120472014205LGN00,12,47,12,47,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/24/14,2014:205:15:33:05.5598505,2014:205:15:33:37.5601737,9,14.04,65.68270962,83.11406812,6.004,5.679,Yes,"18¡47'15.32""N","77¡27'35.57""W","19¡50'06.68""N","78¡08'51.65""W","19¡28'06.78""N","76¡22'29.78""W","17¡43'45.48""N","76¡46'59.09""W","18¡05'52.26""N","78¡32'14.35""W",18.78759,-77.45988,19.83519,-78.14768,19.46855,-76.37494,17.7293,-76.78308,18.09785,-78.53732,LC80120472014205LGN00,LC80120472014205LGN00,LC80120472014205LGN00
1,N,LC80120452014205LGN00,12,45,12,45,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/24/14,2014:205:15:32:17.5593717,2014:205:15:32:49.5596949,9,4.12,66.30673246,89.64832097,6.183,5.572,Yes,"21¡40'18.59""N","76¡47'21.62""W","22¡43'11.50""N","77¡29'21.41""W","22¡21'00.97""N","75¡40'55.06""W","20¡36'45.40""N","76¡06'08.32""W","20¡59'01.68""N","77¡53'15.61""W",21.67183,-76.78934,22.71986,-77.48928,22.35027,-75.68196,20.61261,-76.10231,20.9838,-77.88767,LC80120452014205LGN00,LC80120452014205LGN00,LC80120452014205LGN00
